iter	Passed	Remaining
0	40	40089
1	70	35189
2	100	33494
3	130	32512
4	159	31796
5	189	31470
6	217	30911
7	249	30884
8	287	31634
9	316	31375
10	345	31024
11	373	30723
12	400	30376
13	425	29947
14	450	29574
15	474	29199
16	499	28856
17	522	28532
18	548	28331
19	574	28173
20	599	27968
21	626	27842
22	653	27754
23	678	27597
24	703	27443
25	727	27266
26	753	27166
27	780	27079
28	806	27009
29	832	26904
30	856	26763
31	884	26750
32	909	26658
33	940	26718
34	973	26849
35	1006	26955
36	1037	26990
37	1062	26885
38	1087	26794
39	1112	26697
40	1138	26632
41	1163	26546
42	1189	26464
43	1215	26409
44	1241	26345
45	1269	26325
46	1294	26240
47	1318	26152
48	1343	26079
49	1367	25979
50	1395	25964
51	1419	25884
52	1445	25835
53	1469	25741
54	1495	25687
55	1519	25622
56	1545	25576
57	1572	25534
58	1597	25485
59	1624	25453
60	1650	25405
61	1675	25348
62	1700	25293
63	1726	25251
64	1753	25217
65	1782	25226
66	1813	25259
67	1841	25234
68	1867	25196
69	1892	25149
70	1918	25101
71	1943	25047
72	1967	24982
73	1992	24928
74	2016	24869
75	2040	24809
76	2065	24758
77	2089	24702
78	2115	24667
79	2143	24647
80	2171	24633
81	2198	24613
82	2227	24612
83	2254	24582
84	2280	24546
85	2306	24513
86	2331	24464
87	2359	24450
88	2389	24455
89	2418	24455
90	2445	24431
91	2473	24411
92	2500	24388
93	2529	24382
94	2558	24371
95	2586	24351
96	2612	24317
97	2638	24289
98	2666	24266
99	2690	24210
100	2716	24179
101	2743	24153
102	2769	24121
103	2797	24099
104	2822	24058
105	2847	24015
106	2870	23958
107	2894	23908
108	2921	23882
109	2946	23842
110	2973	23813
111	2999	23782
112	3025	23750
113	3049	23700
114	3074	23658
115	3098	23614
116	3123	23571
117	3148	23532
118	3175	23511
119	3199	23462
120	3227	23446
121	3253	23416
122	3279	23380
123	3303	23334
124	3327	23293
125	3353	23259
126	3378	23223
127	3403	23183
128	3428	23150
129	3453	23111
130	3478	23073
131	3501	23026
132	3527	22994
133	3553	22962
134	3578	22931
135	3605	22905
136	3629	22863
137	3654	22826
138	3680	22797
139	3705	22763
140	3730	22727
141	3755	22690
142	3779	22651
143	3804	22618
144	3832	22595
145	3858	22569
146	3884	22538
147	3910	22513
148	3936	22480
149	3962	22454
150	3988	22423
151	4012	22386
152	4036	22346
153	4060	22308
154	4085	22273
155	4110	22239
156	4135	22206
157	4160	22173
158	4188	22155
159	4218	22147
160	4246	22128
161	4272	22103
162	4297	22068
163	4322	22035
164	4347	22001
165	4371	21963
166	4397	21936
167	4422	21901
168	4448	21876
169	4471	21833
170	4498	21807
171	4524	21778
172	4551	21759
173	4577	21731
174	4602	21698
175	4631	21681
176	4661	21676
177	4694	21677
178	4726	21679
179	4758	21679
180	4789	21670
181	4821	21671
182	4853	21666
183	4883	21655
184	4915	21654
185	4947	21653
186	4976	21635
187	5003	21612
188	5030	21585
189	5055	21553
190	5079	21516
191	5104	21480
192	5127	21439
193	5153	21411
194	5180	21385
195	5205	21354
196	5228	21313
197	5253	21278
198	5280	21252
199	5305	21223
200	5332	21197
201	5356	21162
202	5382	21131
203	5407	21100
204	5432	21066
205	5457	21034
206	5484	21009
207	5509	20979
208	5536	20953
209	5560	20919
210	5586	20888
211	5611	20856
212	5638	20831
213	5662	20795
214	5686	20761
215	5714	20740
216	5739	20708
217	5765	20682
218	5789	20647
219	5815	20617
220	5838	20580
221	5866	20557
222	5892	20530
223	5918	20504
224	5944	20476
225	5971	20450
226	5997	20422
227	6022	20393
228	6049	20368
229	6075	20338
230	6099	20306
231	6125	20276
232	6148	20241
233	6175	20215
234	6199	20182
235	6227	20159
236	6252	20130
237	6278	20101
238	6303	20071
239	6329	20042
240	6353	20008
241	6377	19976
242	6401	19941
243	6425	19909
244	6450	19878
245	6475	19846
246	6502	19822
247	6528	19794
248	6554	19767
249	6578	19736
250	6604	19709
251	6630	19679
252	6657	19655
253	6682	19627
254	6711	19607
255	6739	19587
256	6767	19564
257	6794	19539
258	6817	19505
259	6843	19478
260	6867	19445
261	6892	19414
262	6915	19379
263	6941	19351
264	6973	19340
265	7003	19325
266	7031	19304
267	7059	19280
268	7085	19255
269	7111	19228
270	7142	19214
271	7174	19203
272	7200	19175
273	7226	19147
274	7252	19120
275	7276	19088
276	7300	19055
277	7326	19026
278	7350	18996
279	7376	18968
280	7401	18938
281	7425	18906
282	7449	18873
283	7474	18842
284	7499	18813
285	7525	18787
286	7550	18758
287	7575	18728
288	7602	18702
289	7627	18674
290	7654	18649
291	7681	18625
292	7706	18595
293	7731	18567
294	7758	18540
295	7783	18511
296	7808	18481
297	7833	18452
298	7856	18420
299	7882	18391
300	7908	18365
301	7933	18335
302	7958	18307
303	7983	18278
304	8010	18253
305	8037	18228
306	8063	18201
307	8091	18180
308	8117	18152
309	8143	18126
310	8171	18104
311	8199	18080
312	8226	18056
313	8255	18036
314	8285	18016
315	8310	17988
316	8335	17959
317	8360	17930
318	8386	17902
319	8410	17871
320	8435	17842
321	8459	17813
322	8484	17782
323	8510	17755
324	8535	17727
325	8559	17696
326	8585	17669
327	8609	17638
328	8635	17612
329	8661	17584
330	8687	17558
331	8715	17535
332	8740	17508
333	8766	17479
334	8789	17448
335	8815	17420
336	8841	17393
337	8866	17365
338	8892	17339
339	8927	17329
340	8953	17303
341	8977	17273
342	9001	17241
343	9027	17215
344	9054	17190
345	9081	17166
346	9106	17137
347	9131	17107
348	9155	17078
349	9179	17047
350	9202	17016
351	9229	16989
352	9256	16966
353	9284	16943
354	9309	16914
355	9336	16890
356	9362	16862
357	9388	16836
358	9415	16811
359	9442	16786
360	9468	16760
361	9494	16732
362	9516	16700
363	9540	16668
364	9570	16649
365	9594	16619
366	9618	16589
367	9643	16560
368	9667	16532
369	9692	16503
370	9716	16473
371	9741	16444
372	9765	16415
373	9790	16386
374	9814	16357
375	9838	16326
376	9862	16297
377	9888	16270
378	9911	16240
379	9937	16213
380	9962	16185
381	9988	16160
382	10013	16131
383	10038	16104
384	10065	16079
385	10091	16052
386	10115	16022
387	10139	15993
388	10163	15964
389	10189	15937
390	10214	15908
391	10238	15880
392	10261	15849
393	10285	15820
394	10310	15791
395	10334	15762
396	10358	15733
397	10384	15706
398	10409	15679
399	10435	15653
400	10458	15623
401	10483	15595
402	10508	15566
403	10534	15540
404	10558	15512
405	10582	15483
406	10606	15454
407	10632	15428
408	10658	15401
409	10684	15374
410	10710	15348
411	10734	15319
412	10758	15291
413	10781	15261
414	10805	15231
415	10829	15202
416	10853	15174
417	10879	15147
418	10901	15116
419	10925	15087
420	10950	15060
421	10975	15032
422	11000	15004
423	11024	14976
424	11049	14949
425	11073	14921
426	11096	14891
427	11121	14862
428	11147	14836
429	11173	14811
430	11199	14784
431	11224	14758
432	11248	14729
433	11271	14700
434	11295	14671
435	11319	14642
436	11343	14613
437	11367	14586
438	11392	14558
439	11416	14529
440	11440	14501
441	11466	14475
442	11495	14453
443	11522	14428
444	11549	14403
445	11576	14380
446	11603	14355
447	11629	14329
448	11657	14305
449	11686	14283
450	11713	14259
451	11739	14232
452	11763	14204
453	11787	14176
454	11812	14149
455	11835	14119
456	11859	14091
457	11883	14062
458	11907	14035
459	11932	14007
460	11955	13978
461	11980	13950
462	12005	13924
463	12028	13894
464	12052	13867
465	12076	13838
466	12100	13811
467	12125	13783
468	12150	13756
469	12175	13729
470	12199	13701
471	12223	13673
472	12249	13647
473	12273	13619
474	12299	13593
475	12323	13566
476	12348	13539
477	12374	13513
478	12400	13488
479	12426	13462
480	12450	13434
481	12476	13408
482	12505	13385
483	12530	13358
484	12557	13333
485	12582	13306
486	12606	13279
487	12632	13253
488	12658	13227
489	12682	13200
490	12708	13174
491	12733	13147
492	12759	13121
493	12782	13093
494	12807	13066
495	12830	13037
496	12855	13011
497	12880	12984
498	12903	12955
499	12929	12929
500	12953	12901
501	12978	12874
502	13002	12847
503	13027	12820
504	13052	12793
505	13076	12766
506	13099	12737
507	13125	12711
508	13150	12685
509	13176	12660
510	13202	12634
511	13226	12606
512	13252	12580
513	13276	12552
514	13300	12525
515	13323	12497
516	13349	12471
517	13374	12444
518	13398	12417
519	13422	12389
520	13446	12362
521	13470	12335
522	13494	12307
523	13519	12280
524	13543	12253
525	13570	12228
